SPK_00044224_021	TITW-KSUT_id10273_2	0.235724
SPK_00044224_045	TITW-KSUT_id10273_3	0.205466
SPK_00044224_071	TITW-KSKT_id10273_0	0.244806
SPK_00044224_107	TITW-KSUT_id10273_0	0.243854
SPK_00044224_113	TITW-KSKT_id10273_2	0.296318
SPK_00044224_121	TITW-KSUT_id10273_4	0.218626
SPK_00044224_269	TITW-KSKT_id10273_1	0.282068
SPK_00044224_384	TITW-KSKT_id10273_4	0.226926
SPK_00044224_414	TITW-KSUT_id10273_1	0.210672
SPK_00044224_458	TITW-KSKT_id10273_3	0.250623
SPK_00058708_021	TITW-KSKT_id10274_0	0.320210
SPK_00058708_021	TITW-KSUT_id10274_0	0.337931
SPK_00058708_025	TITW-KSUT_id10274_4	0.322715
SPK_00058708_038	TITW-KSKT_id10274_3	0.375408
SPK_00058708_043	TITW-KSUT_id10274_2	0.204450
SPK_00058708_045	TITW-KSUT_id10274_1	0.315565
SPK_00058708_047	TITW-KSKT_id10274_1	0.320475
SPK_00058708_049	TITW-KSUT_id10274_3	0.232011
SPK_00058708_059	TITW-KSKT_id10274_2	0.202437
SPK_00058708_079	TITW-KSKT_id10274_4	0.316042
SPK_00079046_006	TITW-KSKT_id10270_0	0.252696
SPK_00079046_009	TITW-KSKT_id10270_2	0.249342
SPK_00079046_086	TITW-KSUT_id10270_4	0.294700
SPK_00079046_147	TITW-KSUT_id10270_1	0.219337
SPK_00079046_150	TITW-KSUT_id10270_3	0.141052
SPK_00079046_163	TITW-KSKT_id10270_3	0.228482
SPK_00079046_168	TITW-KSUT_id10270_2	0.228434
SPK_00079046_181	TITW-KSKT_id10270_4	0.302216
SPK_00079046_214	TITW-KSKT_id10270_1	0.272624
SPK_00079046_229	TITW-KSUT_id10270_0	0.253254
SPK_00092370_004	TITW-KSKT_id10285_3	0.274844
SPK_00092370_031	TITW-KSKT_id10285_4	0.228901
SPK_00092370_044	TITW-KSKT_id10285_2	0.183722
SPK_00092370_053	TITW-KSUT_id10285_0	0.218873
SPK_00092370_083	TITW-KSKT_id10285_0	0.083522
SPK_00092370_090	TITW-KSUT_id10285_4	0.255844
SPK_00092370_105	TITW-KSKT_id10285_1	0.114073
SPK_00092370_152	TITW-KSUT_id10285_1	0.267643
SPK_00092370_162	TITW-KSUT_id10285_2	0.225986
SPK_00092370_186	TITW-KSUT_id10285_3	0.258254
SPK_00121556_006	TITW-KSUT_id10276_0	0.264309
SPK_00121556_011	TITW-KSKT_id10276_1	0.247389
SPK_00121556_044	TITW-KSKT_id10276_0	0.215285
SPK_00121556_146	TITW-KSKT_id10276_4	0.232643
SPK_00121556_273	TITW-KSKT_id10276_3	0.275176
SPK_00121556_304	TITW-KSUT_id10276_4	0.216527
SPK_00121556_307	TITW-KSUT_id10276_3	0.232131
SPK_00121556_324	TITW-KSKT_id10276_2	0.250911
SPK_00121556_355	TITW-KSUT_id10276_1	0.261904
SPK_00121556_357	TITW-KSUT_id10276_2	0.245330
SPK_00124534_008	TITW-KSKT_id10309_1	0.233213
SPK_00124534_011	TITW-KSUT_id10309_2	0.220843
SPK_00124534_033	TITW-KSUT_id10309_4	0.255507
SPK_00124534_043	TITW-KSKT_id10309_2	0.147993
SPK_00124534_065	TITW-KSUT_id10309_3	0.158498
